,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
2813,4876722,钢的琴,2010,"['剧情', '喜剧']",343300,10,2,8.5,3671,14629,3671,3671,27002,3671,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2814,4881121,七小罗汉,2010,"['喜剧', '动作']",5274,10,2,5.2,25,5019,1427,25,10567,1427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2815,4881604,回马枪,2011,"['喜剧', '犯罪']",5073,10,2,4.0,10,9269,10,10,21749,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2816,4881607,撒娇女人最好命,2014,"['喜剧', '爱情']",205031,10,2,5.7,16863,52104,16863,16863,62155,17013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2817,4883425,花 Love and Bruises,2011,"['剧情', '爱情', '情色']",20818,10,2,6.9,53030,24145,53030,53030,43649,53116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2818,4891917,一线缉毒,2010,['剧情'],199,10,2,6.7,68,148,2,68,361,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2819,4894072,刺痛我,2010,"['犯罪', '动画']",12048,10,2,7.8,1648,3,1648,1648,3,1648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2820,4894074,午夜心跳,2010,['恐怖'],6458,10,2,3.3,15,19889,8,15,34141,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2822,4896263,将爱情进行到底,2011,"['剧情', '爱情']",196266,10,2,6.5,2107,21190,230,2107,38533,271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2823,4896295,第一书记,2010,['传记'],2172,10,2,7.3,156,7081,156,156,27086,270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
